Company Name,Industry,Round/Series,Location,About Company,Cleaned_amount($),Year,Company/Brand,HeadQuarter,Sector,Investor,Amount($),Stage,Company_Name,column10
Gugu,"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Seed,"Coimbatore, Tamil Nadu, India",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,,2018,,,,,,,,
FarmTaaza,"Agriculture, Farmers Market, Farming",Series A,"Bengaluru, Karnataka, India",Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,,2018,,,,,,,,
Vizzbee,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Seed,"Bhopal, Madhya Pradesh, India",Autonomous Drone Solutions for last mile delivery as well as search and rescue,,2018,,,,,,,,
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,"Bangalore, Karnataka, India",BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,,2018,,,,,,,,
Mobycy,"Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",Angel,"Gurgaon, Haryana, India",India's 1st Dockless Bicycle Sharing App,,2018,,,,,,,,
Traveo Soft Pvt. Ltd.,"Mobile, Software, Travel",,"Bangalore, Karnataka, India",AI based Business Travel & Expense management,,2018,,,,,,,,
Em Personal Care,Cosmetics,Seed,"Worli, Maharashtra, India",Em Personal Care is a Cosmetic products manufacturing Company.,,2018,,,,,,,,
Lucideus,"Consulting, Cyber Security, Network Security",,"New Delhi, Delhi, India","Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",,2018,,,,,,,,
Eupheus Learning,"E-Learning, EdTech, Education",Seed,"Delhi, Delhi, India",Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,,2018,,,,,,,,
GamingMonk,"eSports, Gaming, Video Games",Series A,"New Delhi, Delhi, India","GamingMonk is an eSports gaming company based out of New Delhi, India.",,2018,,,,,,,,
Sukkhi Jewellery,"Fashion, Jewelry",,"Mumbai, Maharashtra, India",Sukkhi Jewellery is a Contemporary fashion jewellery brand.,,2018,,,,,,,,
INDwealth,Financial Services,Seed,"Gurgaon, Haryana, India",INDwealth is an Artificial Intelligence (AI) powered wealth management company,,2018,,,,,,,,
Medikabazaar,"B2B, Medical Device",Series A,"Mumbai, Maharashtra, India",India's largest medical and surgical supplies marketplace,,2018,,,,,,,,
NIRA,"Credit, Financial Services, FinTech, Lending",Seed,"Bangalore, Karnataka, India","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",,2018,,,,,,,,
Duroflex Pvt. Ltd.,"Consumer Goods, Manufacturing",Equity,"Alleppey, Kerala, India",Duroflex Pvt. Ltd. operates as a dominant mattress player.,,2018,,,,,,,,
